Rank,Release Group,Worldwide,Domestic,%,Foreign,%
95,Wild Orchid,"$11,060,485","$11,060,485",100%,-,-
96,Nuns on the Run,"$10,959,015","$10,959,015",100%,-,-
97,Narrow Margin,"$10,873,237","$10,873,237",100%,-,-
98,The Witches,"$10,360,553","$10,360,553",100%,-,-
99,The Adventures of Milo and Otis 1990 Re-release,"$10,351,534","$10,351,534",100%,-,-
100,The Two Jakes,"$10,005,969","$10,005,969",100%,-,-
101,Miami Blues,"$9,888,167","$9,888,167",100%,-,-
102,Nightbreed,"$9,469,695","$8,862,354",93.6%,"$607,341",6.4%
103,Havana,"$9,243,140","$9,243,140",100%,-,-
104,Ski Patrol,"$8,533,973","$8,533,973",100%,-,-
105,Cry-Baby,"$8,266,343","$8,266,343",100%,-,-
106,Blue Steel,"$8,217,997","$8,217,997",100%,-,-
107,Funny About Love,"$8,141,292","$8,141,292",100%,-,-
108,"The Cook, the Thief, His Wife & Her Lover","$7,724,701","$7,724,701",100%,-,-
109,Mr. & Mrs. Bridge,"$7,698,010","$7,698,010",100%,-,-
110,Alice,"$7,331,647","$7,331,647",100%,-,-
111,Almost an Angel,"$6,939,946","$6,939,946",100%,-,-
112,Delta Force 2: The Colombian Connection,"$6,698,361","$6,698,361",100%,-,-
113,Flashback,"$6,488,114","$6,488,114",100%,-,-
114,The Gods Must Be Crazy II,"$6,291,444","$6,291,444",100%,-,-
115,Men Don't Leave,"$6,070,725","$6,070,725",100%,-,-
116,Night of the Living Dead,"$5,835,247","$5,835,247",100%,-,-
117,Cyrano de Bergerac,"$5,820,020","$5,820,020",100%,-,-
118,Stanley & Iris,"$5,820,015","$5,820,015",100%,-,-
119,Leatherface: Texas Chainsaw Massacre III,"$5,765,562","$5,765,562",100%,-,-
120,Hardware,"$5,728,953","$5,728,953",100%,-,-
121,Loose Cannons,"$5,585,154","$5,585,154",100%,-,-
122,Miller's Crossing,"$5,080,409","$5,080,409",100%,-,-
123,The Handmaid's Tale,"$4,960,385","$4,960,385",100%,-,-
124,The Long Walk Home,"$4,873,620","$4,873,620",100%,-,-
125,Longtime Companion,"$4,609,953","$4,609,953",100%,-,-
126,Graffiti Bridge,"$4,562,778","$4,562,778",100%,-,-
127,Dark Angel,"$4,348,368","$4,348,368",100%,-,-
128,Lisa,"$4,347,648","$4,347,648",100%,-,-
129,Lambada,"$4,263,112","$4,263,112",100%,-,-
130,China Cry: A True Story,"$4,212,828","$4,212,828",100%,-,-
131,Heart Condition,"$4,134,992","$4,134,992",100%,-,-
132,Tie Me Up! Tie Me Down!,"$4,087,361","$4,087,361",100%,-,-
133,Mountains of the Moon,"$4,011,793","$4,011,793",100%,-,-
134,Short Time,"$4,010,647","$4,010,647",100%,-,-
135,"Welcome Home, Roxy Carmichael","$3,989,297","$3,989,297",100%,-,-
136,The Lemon Sisters,"$3,473,905","$3,473,905",100%,-,-
137,A Shock to the System,"$3,417,056","$3,417,056",100%,-,-
138,Metropolitan,"$2,938,208","$2,938,208",100%,-,-
139,Desperate Hours,"$2,742,912","$2,742,912",100%,-,-
140,Blind Fury,"$2,692,037","$2,692,037",100%,-,-
141,"After Dark, My Sweet","$2,678,414","$2,678,414",100%,-,-
142,King of New York,"$2,554,476","$2,554,476",100%,-,-
143,Impulse,"$2,544,504","$2,544,504",100%,-,-
144,Class of 1999,"$2,459,895","$2,459,895",100%,-,-
145,Body Chemistry,"$2,415,312","$2,415,312",100%,-,-
146,Downtown,"$2,346,150","$2,346,150",100%,-,-
147,White Hunter Black Heart,"$2,319,124","$2,319,124",100%,-,-
148,The Nasty Girl,"$2,281,569","$2,281,569",100%,-,-
149,Texasville,"$2,268,181","$2,268,181",100%,-,-
150,Vincent & Theo,"$2,231,274","$2,231,274",100%,-,-
151,Def by Temptation,"$2,218,579","$2,218,579",100%,-,-
152,Eating,"$2,100,538","$2,100,538",100%,-,-
153,The Sheltering Sky,"$2,075,084","$2,075,084",100%,-,-
154,The Krays,"$2,060,847","$2,060,847",100%,-,-
155,Dreams,"$1,963,207","$1,963,207",100%,-,-
156,State of Grace,"$1,911,542","$1,911,542",100%,-,-
157,The Forbidden Dance,"$1,823,154","$1,823,154",100%,-,-
158,Tune in Tomorrow...,"$1,794,001","$1,794,001",100%,-,-
159,The Nutcracker Prince,"$1,781,694","$1,781,694",100%,-,-
160,Too Beautiful for You,"$1,776,440","$1,776,440",100%,-,-
161,Last Exit to Brooklyn,"$1,730,005","$1,730,005",100%,-,-
162,The Rain Killer,"$1,696,066","$1,696,066",100%,-,-
163,Brain Dead,"$1,627,955","$1,627,955",100%,-,-
164,Jesus of Montreal,"$1,601,612","$1,601,612",100%,-,-
165,May Fools,"$1,576,702","$1,576,702",100%,-,-
166,The Haunting of Morella,"$1,547,867","$1,547,867",100%,-,-
167,The Last of the Finest,"$1,531,489","$1,531,489",100%,-,-
168,Streets,"$1,510,053","$1,510,053",100%,-,-
169,A Cry in the Wild,"$1,494,969","$1,494,969",100%,-,-
170,The Field,"$1,494,399","$1,494,399",100%,-,-
171,Love at Large,"$1,436,308","$1,436,308",100%,-,-
172,Monsieur Hire,"$1,417,030","$1,417,030",100%,-,-
173,Courage Mountain,"$1,393,610","$1,393,610",100%,-,-
174,Repossessed,"$1,382,462","$1,382,462",100%,-,-
175,Daddy's Dyin'... Who's Got the Will?,"$1,373,728","$1,373,728",100%,-,-
176,Everybody Wins,"$1,372,350","$1,372,350",100%,-,-
177,The Fourth War,"$1,305,887","$1,305,887",100%,-,-
178,The Hot Spot,"$1,293,976","$1,293,976",100%,-,-
179,Bloodfist II,"$1,292,323","$1,292,323",100%,-,-
180,This Is Not Frank's Planet/Snowie and the Seven Dorps/Poumse...,"$1,289,551","$1,289,551",100%,-,-
181,Robot Jox,"$1,272,977","$1,272,977",100%,-,-
182,Slumber Party Massacre III,"$1,242,995","$1,242,995",100%,-,-
183,The Icicle Thief,"$1,231,622","$1,231,622",100%,-,-
184,Vital Signs,"$1,224,605","$1,224,605",100%,-,-
185,Without You I'm Nothing,"$1,218,730","$1,218,730",100%,-,-
186,The Boyfriend School,"$1,171,762","$1,171,762",100%,-,-
187,To Sleep with Anger,"$1,161,135","$1,161,135",100%,-,-
188,Where the Heart Is,"$1,106,475","$1,106,475",100%,-,-
189,Hidden Agenda,"$1,030,938","$1,030,938",100%,-,-
190,Corporate Affairs,"$1,006,575","$1,006,575",100%,-,-
191,Come See the Paradise,"$947,306","$947,306",100%,-,-
192,Sweetie,"$938,065","$938,065",100%,-,-
193,The Blood of Heroes,"$882,290","$882,290",100%,-,-
194,Angel Town,"$855,810","$855,810",100%,-,-
195,Waiting for the Light,"$808,690","$808,690",100%,-,-
196,C'est la vie,"$805,472","$805,472",100%,-,-
197,Listen Up: The Lives of Quincy Jones,"$776,699","$776,699",100%,-,-
198,22nd Annual International Tournée of Animation,"$768,304","$768,304",100%,-,-
199,Strapless,"$764,794","$764,794",100%,-,-
200,Coupe de Ville,"$715,983","$715,983",100%,-,-
1,Beauty and the Beast,"$248,802,521","$145,863,363",58.6%,"$102,939,158",41.4%
2,Terminator 2: Judgment Day,"$204,843,345","$204,843,345",100%,-,-
3,Robin Hood: Prince of Thieves,"$165,493,908","$165,493,908",100%,-,-
4,The Silence of the Lambs,"$130,742,922","$130,742,922",100%,-,-
5,City Slickers,"$124,033,791","$124,033,791",100%,-,-
6,Hook,"$119,654,823","$119,654,823",100%,-,-
7,The Addams Family,"$113,502,426","$113,502,426",100%,-,-
8,Sleeping with the Enemy,"$101,599,005","$101,599,005",100%,-,-
9,Father of the Bride,"$89,325,780","$89,325,780",100%,-,-
10,The Naked Gun 2½: The Smell of Fear,"$86,930,411","$86,930,411",100%,-,-
11,Fried Green Tomatoes,"$82,418,501","$82,418,501",100%,-,-
12,Cape Fear,"$79,091,969","$79,091,969",100%,-,-
13,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"$78,656,813","$78,656,813",100%,-,-
14,Backdraft,"$77,868,585","$77,868,585",100%,-,-
15,Star Trek VI: The Undiscovered Country,"$74,888,996","$74,888,996",100%,-,-
16,The Prince of Tides,"$74,787,599","$74,787,599",100%,-,-
17,JFK,"$70,405,498","$70,405,498",100%,-,-
18,Hot Shots!,"$69,467,617","$69,467,617",100%,-,-
19,What About Bob?,"$63,707,829","$63,707,829",100%,-,-
20,One Hundred and One Dalmatians 1991 Re-release,"$60,830,285","$60,830,285",100%,-,-
21,The Last Boy Scout,"$59,509,925","$59,509,925",100%,-,-
22,My Girl,"$59,489,799","$59,489,799",100%,-,-
23,Boyz n the Hood,"$57,504,069","$57,504,069",100%,-,-
24,Doc Hollywood,"$54,830,779","$54,830,779",100%,-,-
25,Bugsy,"$49,114,016","$49,114,016",100%,-,-
26,New Jack City,"$47,624,353","$47,624,353",100%,-,-
27,The Rocketeer,"$46,704,056","$46,704,056",100%,-,-
28,Thelma & Louise,"$45,454,078","$45,360,915",99.8%,"$93,163",0.2%
29,Point Break,"$43,218,387","$43,218,387",100%,-,-
30,Regarding Henry,"$43,001,500","$43,001,500",100%,-,-
31,The Fisher King,"$41,895,491","$41,895,491",100%,-,-
32,Out for Justice,"$39,673,161","$39,673,161",100%,-,-
33,The Doctor,"$38,120,905","$38,120,905",100%,-,-
34,Bill & Ted's Bogus Journey,"$38,037,513","$38,037,513",100%,-,-
35,Dead Again,"$38,016,380","$38,016,380",100%,-,-
36,Soapdish,"$36,489,888","$36,489,888",100%,-,-
37,Freddy's Dead: The Final Nightmare,"$34,872,033","$34,872,033",100%,-,-
38,White Fang,"$34,793,160","$34,793,160",100%,-,-
39,The Doors,"$34,494,884","$34,416,893",99.8%,"$77,991",0.2%
40,King Ralph,"$34,002,045","$34,002,045",100%,-,-
41,Curly Sue,"$33,691,313","$33,691,313",100%,-,-
42,Dying Young,"$33,669,178","$33,669,178",100%,-,-
43,Grand Canyon,"$33,243,020","$33,243,020",100%,-,-
44,Jungle Fever,"$32,482,682","$32,482,682",100%,-,-
45,Double Impact,"$30,102,717","$30,102,717",100%,-,-
46,L.A. Story,"$28,862,081","$28,862,081",100%,-,-
47,Deceived,"$28,738,096","$28,738,096",100%,-,-
48,Necessary Roughness,"$26,255,594","$26,255,594",100%,-,-
49,The Hard Way,"$25,895,485","$25,895,485",100%,-,-
50,Other People's Money,"$25,682,090","$25,682,090",100%,-,-
51,Don't Tell Mom the Babysitter's Dead,"$25,196,249","$25,196,249",100%,-,-
52,Problem Child 2,"$25,104,700","$25,104,700",100%,-,-
53,Little Man Tate,"$25,010,896","$25,010,896",100%,-,-
54,Class Action,"$24,277,858","$24,277,858",100%,-,-
55,The People Under the Stairs,"$24,204,154","$24,204,154",100%,-,-
56,Lionheart,"$24,078,196","$24,078,196",100%,-,-
57,Oscar,"$23,562,716","$23,562,716",100%,-,-
58,Frankie and Johnny,"$22,773,535","$22,773,535",100%,-,-
59,Pure Luck,"$22,641,969","$22,641,969",100%,-,-
60,An American Tail: Fievel Goes West,"$22,166,041","$22,166,041",100%,-,-
61,Only the Lonely,"$21,830,957","$21,830,957",100%,-,-
62,Ricochet,"$21,756,163","$21,756,163",100%,-,-
63,F/X2,"$21,082,165","$21,082,165",100%,-,-
64,Mobsters,"$20,246,790","$20,246,790",100%,-,-
65,House Party 2,"$19,438,638","$19,438,638",100%,-,-
66,Mortal Thoughts,"$18,784,957","$18,784,957",100%,-,-
67,Paradise,"$18,634,643","$18,634,643",100%,-,-
68,For the Boys,"$17,860,280","$17,860,280",100%,-,-
69,The NeverEnding Story II: The Next Chapter,"$17,373,527","$17,373,527",100%,-,-
70,Hudson Hawk,"$17,218,080","$17,218,080",100%,-,-
71,Defending Your Life,"$16,371,128","$16,371,128",100%,-,-
72,Billy Bathgate,"$15,565,363","$15,565,363",100%,-,-
73,Highlander II: The Quickening,"$15,556,340","$15,556,340",100%,-,-
74,Switch,"$15,545,943","$15,545,943",100%,-,-
75,A Kiss Before Dying,"$15,429,177","$15,429,177",100%,-,-
76,Shipwrecked,"$15,104,156","$15,104,156",100%,-,-
77,Toy Soldiers,"$15,073,942","$15,073,942",100%,-,-
78,Madonna: Truth or Dare,"$15,014,252","$15,012,935",100%,"$1,317",<0.1%
79,Child's Play 3,"$14,960,255","$14,960,255",100%,-,-
80,The Commitments,"$14,919,570","$14,919,570",100%,-,-
81,Once Around,"$14,851,083","$14,851,083",100%,-,-
82,All I Want for Christmas,"$14,812,144","$14,812,144",100%,-,-
83,Not Without My Daughter,"$14,789,113","$14,789,113",100%,-,-
84,Flight of the Intruder,"$14,587,732","$14,587,732",100%,-,-
85,Ernest Scared Stupid,"$14,143,280","$14,143,280",100%,-,-
86,The Perfect Weapon,"$14,061,361","$14,061,361",100%,-,-
87,Drop Dead Fred,"$13,878,334","$13,878,334",100%,-,-
88,The Marrying Man,"$12,454,768","$12,454,768",100%,-,-
89,Shattered,"$11,511,031","$11,511,031",100%,-,-
90,Career Opportunities,"$11,336,986","$11,336,986",100%,-,-
91,One Good Cop,"$11,276,846","$11,276,846",100%,-,-
92,V.I. Warshawski,"$11,128,309","$11,128,309",100%,-,-
93,The Super,"$11,000,863","$11,000,863",100%,-,-
94,A Rage in Harlem,"$10,438,504","$10,438,504",100%,-,-
95,"He Said, She Said","$9,804,775","$9,804,775",100%,-,-
96,The Butcher's Wife,"$9,689,816","$9,689,816",100%,-,-
97,Scenes from a Mall,"$9,563,393","$9,563,393",100%,-,-
98,Guilty by Suspicion,"$9,480,198","$9,480,198",100%,-,-
99,Body Parts,"$9,188,150","$9,188,150",100%,-,-
100,Stone Cold,"$9,151,887","$9,151,887",100%,-,-
101,Warlock,"$9,094,451","$9,094,451",100%,-,-
102,Late for Dinner,"$8,906,823","$8,906,823",100%,-,-
103,The Five Heartbeats,"$8,750,400","$8,750,400",100%,-,-
104,Bingo,"$8,667,684","$8,667,684",100%,-,-
105,Nothing But Trouble,"$8,479,793","$8,479,793",100%,-,-
106,Black Robe,"$8,211,952","$8,211,952",100%,-,-
107,If Looks Could Kill,"$7,788,597","$7,788,597",100%,-,-
108,Strictly Business,"$7,683,267","$7,683,267",100%,-,-
109,Harley Davidson and the Marlboro Man,"$7,434,726","$7,434,726",100%,-,-
110,Wild Hearts Can't Be Broken,"$7,294,835","$7,294,835",100%,-,-
111,Rush,"$7,241,350","$7,241,350",100%,-,-
112,Suburban Commando,"$6,948,859","$6,948,859",100%,-,-
113,Defenseless,"$6,413,375","$6,413,375",100%,-,-
114,My Own Private Idaho,"$6,401,336","$6,401,336",100%,-,-
115,Rambling Rose,"$6,266,621","$6,266,621",100%,-,-
116,Mystery Date,"$6,166,819","$6,166,819",100%,-,-
117,Barton Fink,"$6,153,939","$6,153,939",100%,-,-
118,Europa Europa,"$5,575,738","$5,575,738",100%,-,-
119,Delirious,"$5,546,827","$5,546,827",100%,-,-
120,Livin' Large!,"$5,467,959","$5,467,959",100%,-,-
121,Eve of Destruction,"$5,451,119","$5,451,119",100%,-,-
122,The Object of Beauty,"$5,136,759","$5,136,759",100%,-,-
123,Nikita,"$5,017,971","$5,017,971",100%,-,-
124,True Identity,"$4,693,236","$4,693,236",100%,-,-
125,The Hitman,"$4,654,288","$4,654,288",100%,-,-
126,Dutch,"$4,603,929","$4,603,929",100%,-,-
127,Run,"$4,409,328","$4,409,328",100%,-,-
128,Hear My Song,"$4,313,473","$4,313,473",100%,-,-
129,Popcorn,"$4,205,000","$4,205,000",100%,-,-
130,Life Stinks,"$4,102,526","$4,102,526",100%,-,-
131,Impromptu,"$4,076,211","$4,076,211",100%,-,-
132,Antarctica,"$4,075,362",-,-,"$4,075,362",100%
133,Paris Is Burning,"$3,779,620","$3,779,620",100%,-,-
134,Mannequin: On the Move,"$3,752,428","$3,752,428",100%,-,-
135,My Heroes Have Always Been Cowboys,"$3,603,615","$3,603,615",100%,-,-
136,Shout,"$3,547,684","$3,547,684",100%,-,-
137,Homicide,"$2,971,661","$2,971,661",100%,-,-
138,Another You,"$2,865,916","$2,865,916",100%,-,-
139,The Man in the Moon,"$2,853,801","$2,853,801",100%,-,-
140,Return to the Blue Lagoon,"$2,807,854","$2,807,854",100%,-,-
141,Straight Out of Brooklyn,"$2,712,293","$2,712,293",100%,-,-
142,Naked Lunch,"$2,641,357","$2,641,357",100%,-,-
143,Showdown in Little Tokyo,"$2,275,557","$2,275,557",100%,-,-
144,29th Street,"$2,120,564","$2,120,564",100%,-,-
145,Cadence,"$2,070,871","$2,070,871",100%,-,-
146,The Double Life of Véronique,"$2,002,966","$1,999,955",99.8%,"$3,011",0.2%
147,Ju Dou,"$1,986,433","$1,986,433",100%,-,-
148,Madame Bovary,"$1,942,423","$1,942,423",100%,-,-
149,Spartacus 1991 Re-release,"$1,830,650","$1,830,650",100%,-,-
150,Prospero's Books,"$1,750,301","$1,750,301",100%,-,-
151,Everybody's Fine,"$1,745,470","$1,745,470",100%,-,-
152,My Father's Glory,"$1,730,856","$1,730,856",100%,-,-
153,High Heels,"$1,710,057","$1,710,057",100%,-,-
154,Citizen Kane 1991 Re-release,"$1,585,634","$1,585,634",100%,-,-
155,Truly Madly Deeply,"$1,554,742","$1,554,742",100%,-,-
156,Life Is Sweet,"$1,516,414","$1,516,414",100%,-,-
157,Company Business,"$1,501,785","$1,501,785",100%,-,-
158,My Mother's Castle,"$1,477,071","$1,477,071",100%,-,-
159,Mister Johnson,"$1,464,242","$1,464,242",100%,-,-
160,Book of Love,"$1,382,259","$1,382,259",100%,-,-
161,At Play in the Fields of the Lord,"$1,345,903","$1,345,903",100%,-,-
162,City of Hope,"$1,345,015","$1,345,015",100%,-,-
163,Hearts of Darkness: A Filmmaker's Apocalypse,"$1,318,449","$1,318,449",100%,-,-
164,The Rapture,"$1,277,404","$1,277,404",100%,-,-
165,Kickboxer 2: The Road Back,"$1,250,712","$1,250,712",100%,-,-
166,The Comfort of Strangers,"$1,244,381","$1,244,381",100%,-,-
167,Slacker,"$1,228,108","$1,228,108",100%,-,-
168,Cool as Ice,"$1,193,062","$1,193,062",100%,-,-
169,Year of the Gun,"$1,182,273","$1,182,273",100%,-,-
170,The Unborn,"$1,159,578","$1,159,578",100%,-,-
171,Daddy Nostalgia,"$1,108,429","$1,108,429",100%,-,-
172,Kafka,"$1,059,071","$1,059,071",100%,-,-
173,An Angel at My Table,"$1,054,638","$1,054,638",100%,-,-
174,Whore,"$1,008,404","$1,008,404",100%,-,-
175,Screenplay: Antonia and Jane,"$1,002,078","$1,002,078",100%,-,-
176,Meeting Venus,"$1,000,348","$1,000,348",100%,-,-
177,Talkin' Dirty After Dark,"$978,775","$978,775",100%,-,-
178,The Taking of Beverly Hills,"$939,277","$939,277",100%,-,-
179,Beastmaster 2: Through the Portal of Time,"$869,325","$869,325",100%,-,-
180,The 23rd Tournee of Animation,"$862,309","$862,309",100%,-,-
181,The Miracle,"$835,519","$835,519",100%,-,-
182,Until the End of the World,"$829,625","$829,625",100%,-,-
183,Poison,"$787,280","$787,280",100%,-,-
184,Mindwalk,"$774,048","$774,048",100%,-,-
185,The Story of Boys & Girls,"$741,221","$741,221",100%,-,-
186,Rosencrantz & Guildenstern Are Dead,"$739,104","$739,104",100%,-,-
187,The British Invasion Returns,"$729,102","$729,102",100%,-,-
188,Thousand Pieces of Gold,"$717,772","$717,772",100%,-,-
189,Dice Rules,"$637,327","$637,327",100%,-,-
190,Queens Logic,"$612,781","$612,781",100%,-,-
191,Auntie Danielle,"$604,624","$604,624",100%,-,-
192,The Pope Must Diet,"$582,510","$582,510",100%,-,-
193,The Search for Signs of Intelligent Life in the Universe,"$579,854","$579,854",100%,-,-
194,Rich Girl,"$561,000","$561,000",100%,-,-
195,Hangin' with the Homeboys,"$532,933","$532,933",100%,-,-
196,"Sex, Drugs, Rock & Roll","$530,392","$530,392",100%,-,-
197,Rhapsody in August,"$516,431","$516,431",100%,-,-
198,Meet the Applegates,"$485,772","$485,772",100%,-,-
199,McBain,"$456,127","$456,127",100%,-,-
200,Drowning by Numbers,"$424,773","$424,773",100%,-,-
1,Aladdin,"$346,476,295","$217,350,219",62.7%,"$129,126,076",37.3%
2,Batman Returns,"$266,831,698","$162,831,698",61%,"$104,000,000",39%
3,Home Alone 2: Lost in New York,"$173,585,601","$173,585,516",100%,$85,<0.1%
4,Lethal Weapon 3,"$144,731,527","$144,731,527",100%,-,-
5,A Few Good Men,"$141,354,048","$141,340,178",100%,"$13,870",<0.1%
6,Sister Act,"$139,605,150","$139,605,150",100%,-,-
7,The Bodyguard,"$121,945,720","$121,945,720",100%,-,-
8,Wayne's World,"$121,697,323","$121,697,323",100%,-,-
9,Basic Instinct,"$117,727,224","$117,727,224",100%,-,-
10,A League of Their Own,"$107,533,928","$107,533,928",100%,-,-
11,Unforgiven,"$101,157,447","$101,157,447",100%,-,-
12,The Hand That Rocks the Cradle,"$88,036,683","$88,036,683",100%,-,-
13,Under Siege,"$83,563,139","$83,563,139",100%,-,-
14,Patriot Games,"$83,351,587","$83,351,587",100%,-,-
15,Bram Stoker's Dracula,"$82,522,790","$82,522,790",100%,-,-
16,White Men Can't Jump,"$76,253,806","$76,253,806",100%,-,-
17,The Last of the Mohicans,"$75,505,856","$75,505,856",100%,-,-
18,Boomerang,"$70,052,444","$70,052,444",100%,-,-
19,Scent of a Woman,"$63,095,253","$63,095,253",100%,-,-
20,The Crying Game,"$62,548,947","$62,548,947",100%,-,-
21,Far and Away,"$58,883,840","$58,883,840",100%,-,-
22,"Honey, I Blew Up the Kid","$58,662,452","$58,662,452",100%,-,-
23,HouseSitter,"$58,500,635","$58,500,635",100%,-,-
24,Death Becomes Her,"$58,422,650","$58,422,650",100%,-,-
25,Unlawful Entry,"$57,138,719","$57,138,719",100%,-,-
26,Beethoven,"$57,114,049","$57,114,049",100%,-,-
27,Forever Young,"$55,956,187","$55,956,187",100%,-,-
28,Alien³,"$55,473,545","$55,473,545",100%,-,-
29,My Cousin Vinny,"$52,929,168","$52,929,168",100%,-,-
30,Sneakers,"$51,432,691","$51,432,691",100%,-,-
31,The Mighty Ducks,"$50,752,337","$50,752,337",100%,-,-
32,Wayne's World 2,"$48,198,019","$48,197,805",100%,$214,<0.1%
33,Malcolm X,"$48,169,910","$48,169,910",100%,-,-
34,Single White Female,"$48,017,402","$48,017,402",100%,-,-
35,The Distinguished Gentleman,"$46,666,502","$46,666,502",100%,-,-
36,Medicine Man,"$45,500,797","$45,500,797",100%,-,-
37,Passenger 57,"$44,065,653","$44,065,653",100%,-,-
38,A River Runs Through It,"$43,440,294","$43,440,294",100%,-,-
39,Encino Man,"$40,693,477","$40,693,477",100%,-,-
40,Mo' Money,"$40,227,006","$40,227,006",100%,-,-
41,Universal Soldier,"$36,299,898","$36,299,898",100%,-,-
42,Honeymoon in Vegas,"$35,208,854","$35,208,854",100%,-,-
43,The Lawnmower Man,"$32,100,816","$32,100,816",100%,-,-
44,Sleepwalkers,"$30,524,763","$30,524,763",100%,-,-
45,The Muppet Christmas Carol,"$29,192,434","$27,281,507",93.5%,"$1,910,927",6.5%
46,3 Ninjas,"$29,000,301","$29,000,301",100%,-,-
47,Final Analysis,"$28,590,665","$28,590,665",100%,-,-
48,Stop! Or My Mom Will Shoot,"$28,411,210","$28,411,210",100%,-,-
49,Howards End,"$25,966,555","$25,966,555",100%,-,-
50,Candyman,"$25,792,310","$25,792,310",100%,-,-
51,The Cutting Edge,"$25,105,517","$25,105,517",100%,-,-
52,FernGully: The Last Rainforest,"$24,650,296","$24,650,296",100%,-,-
53,Hoffa,"$24,276,506","$24,276,506",100%,-,-
54,Leap of Faith,"$23,369,283","$23,369,283",100%,-,-
55,Toys,"$23,278,931","$23,278,931",100%,-,-
56,Thunderheart,"$22,660,758","$22,660,758",100%,-,-
57,Captain Ron,"$22,518,097","$22,518,097",100%,-,-
58,The Player,"$21,706,101","$21,706,101",100%,-,-
59,Shining Through,"$21,633,781","$21,633,781",100%,-,-
60,Consenting Adults,"$21,591,728","$21,591,728",100%,-,-
61,Raising Cain,"$21,370,057","$21,370,057",100%,-,-
62,Straight Talk,"$21,202,099","$21,202,099",100%,-,-
63,Kuffs,"$21,142,815","$21,142,815",100%,-,-
64,Mr. Baseball,"$20,883,046","$20,883,046",100%,-,-
65,Juice,"$20,146,880","$20,146,880",100%,-,-
66,Prelude to a Kiss,"$20,006,730","$20,006,730",100%,-,-
67,Hero,"$19,507,345","$19,507,345",100%,-,-
68,Pinocchio 1992 Re-release,"$18,863,559","$18,863,559",100%,-,-
69,Singles,"$18,471,850","$18,471,850",100%,-,-
70,Used People,"$17,957,265","$17,957,265",100%,-,-
71,The Babe,"$17,530,973","$17,530,973",100%,-,-
72,Freejack,"$17,129,026","$17,129,026",100%,-,-
73,Pet Sematary II,"$17,092,453","$17,092,453",100%,-,-
74,Deep Cover,"$16,639,799","$16,639,799",100%,-,-
75,Buffy the Vampire Slayer,"$16,624,456","$16,624,456",100%,-,-
76,Pure Country,"$15,164,458","$15,164,458",100%,-,-
77,Ladybugs,"$14,796,494","$14,796,494",100%,-,-
78,School Ties,"$14,715,067","$14,715,067",100%,-,-
79,City of Joy,"$14,683,921","$14,683,921",100%,-,-
80,Memoirs of an Invisible Man,"$14,358,033","$14,358,033",100%,-,-
81,Rapid Fire,"$14,356,479","$14,356,479",100%,-,-
82,Cool World,"$14,110,589","$14,110,589",100%,-,-
83,Mr. Saturday Night,"$13,351,357","$13,351,357",100%,-,-
84,The Great Mouse Detective 1992 Re-release,"$13,288,756","$13,288,756",100%,-,-
85,Class Act,"$13,272,113","$13,272,113",100%,-,-
86,Trespass,"$13,249,535","$13,249,535",100%,-,-
87,Enchanted April,"$13,200,170","$13,200,170",100%,-,-
88,American Me,"$13,086,430","$13,086,430",100%,-,-
89,Hellraiser III: Hell on Earth,"$12,534,961","$12,534,961",100%,-,-
90,A Stranger Among Us,"$12,282,994","$12,282,994",100%,-,-
91,Rock-A-Doodle,"$11,657,385","$11,657,385",100%,-,-
92,Jennifer 8,"$11,390,479","$11,390,479",100%,-,-
93,Whispers in the Dark,"$11,124,511","$11,124,511",100%,-,-
94,Stay Tuned,"$10,736,401","$10,736,401",100%,-,-
95,Glengarry Glen Ross,"$10,725,228","$10,725,228",100%,-,-
96,Husbands and Wives,"$10,555,619","$10,555,619",100%,-,-
97,Chaplin,"$9,493,259","$9,493,259",100%,-,-
98,Gladiator,"$9,223,441","$9,223,441",100%,-,-
99,White Sands,"$9,011,574","$9,011,574",100%,-,-
100,Once Upon a Crime...,"$8,669,847","$8,669,847",100%,-,-
101,Bebe's Kids,"$8,442,162","$8,442,162",100%,-,-
102,Dr. Giggles,"$8,403,433","$8,403,433",100%,-,-
103,Christopher Columbus: The Discovery,"$8,251,071","$8,251,071",100%,-,-
104,Damage,"$7,532,911","$7,532,911",100%,-,-
105,Sarafina!,"$7,309,989","$7,306,242",99.9%,"$3,747",<0.1%
106,Mississippi Masala,"$7,308,786","$7,308,786",100%,-,-
107,1492: Conquest of Paradise,"$7,191,399","$7,191,399",100%,-,-
108,The Mambo Kings,"$6,742,168","$6,742,168",100%,-,-
109,Article 99,"$6,375,979","$6,375,979",100%,-,-
110,Night and the City,"$6,202,756","$6,202,756",100%,-,-
111,Folks!,"$6,132,924","$6,132,924",100%,-,-
112,Indochine,"$5,603,158","$5,603,158",100%,-,-
113,Wind,"$5,519,569","$5,519,569",100%,-,-
114,Of Mice and Men,"$5,471,088","$5,471,088",100%,-,-
115,Split Second,"$5,430,822","$5,430,822",100%,-,-
116,The Lover,"$5,013,090","$4,899,194",97.7%,"$113,896",2.3%
117,Innocent Blood,"$4,943,279","$4,943,279",100%,-,-
118,The Playboys,"$4,906,900","$4,906,900",100%,-,-
119,Diggstown,"$4,836,637","$4,836,637",100%,-,-
120,Passion Fish,"$4,814,619","$4,814,619",100%,-,-
